 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,MinThr,MaxThr
1,37_y-1.roi:37_y-1,0,0.00000000,0.00000000,0,0,0,1472.00000000,882.00000000,1472.00000000,882.00000000,0,1472,882,1,1,1.12837917,1.12837917,0,0.00000000,0.00000000,0,0,NaN,NaN,0,0,1472.00000000,882.00000000,0.00000000,0,0.00000000,0.00000000,NaN,0,255
2,37_y-1.roi:37_y-1,0,0.00000000,0.00000000,0,0,0,1423.50000000,919.50000000,1423.50000000,919.50000000,0,1424,920,1,1,1.12837917,1.12837917,0,0.00000000,0.00000000,0,0,NaN,NaN,0,0,1423.50000000,919.50000000,0.00000000,0,0.00000000,0.00000000,NaN,0,255
3,37_y-1.roi:37_y-1,0,0.00000000,0.00000000,0,0,0,1299.50000000,801.50000000,1299.50000000,801.50000000,0,1300,802,1,1,1.12837917,1.12837917,0,0.00000000,0.00000000,0,0,NaN,NaN,0,0,1299.50000000,801.50000000,0.00000000,0,0.00000000,0.00000000,NaN,0,255
4,37_y-1.roi:37_y-1,0,0.00000000,0.00000000,0,0,0,1065.50000000,813.50000000,1065.50000000,813.50000000,0,1066,814,1,1,1.12837917,1.12837917,0,0.00000000,0.00000000,0,0,NaN,NaN,0,0,1065.50000000,813.50000000,0.00000000,0,0.00000000,0.00000000,NaN,0,255
5,37_y-1.roi:37_y-1,0,0.00000000,0.00000000,0,0,0,141.50000000,1011.50000000,141.50000000,1011.50000000,0,142,1012,1,1,1.12837917,1.12837917,0,0.00000000,0.00000000,0,0,NaN,NaN,0,0,141.50000000,1011.50000000,0.00000000,0,0.00000000,0.00000000,NaN,0,255
6,37_y-1.roi:37_y-1,0,0.00000000,0.00000000,0,0,0,1539.50000000,1117.50000000,1539.50000000,1117.50000000,0,1540,1118,1,1,1.12837917,1.12837917,0,0.00000000,0.00000000,0,0,NaN,NaN,0,0,1539.50000000,1117.50000000,0.00000000,0,0.00000000,0.00000000,NaN,0,255
7,37_y-1.roi,1751079,0.00000000,0.00000000,0,0,0,775.50000000,564.50000000,775.50000000,564.50000000,5360,0,0,1551,1129,1750.11608807,1273.94007958,0,0.76592461,1918.39568390,0,0,NaN,NaN,0,0,0.00000000,0.00000000,143.94847249,1129,1.37378211,0.72791747,1.00000000,0,255
8,Mar19bS1C1R3_VLPAGl_200x_y.png,1920000,6.40941042,2.74813868,7,0,221,800.00000000,600.00000000,701.95971236,564.00575764,5600,0,0,1600,1200,1805.40666726,1354.05500044,0,0.76936963,2000.00000000,12306068,7,1.17819874,50.93565856,0,12306068,0.00000000,0.00000000,143.13010235,1200,1.33333333,0.75000000,1.00000000,0,0
9,Mar19bS2C1R1_LHl_200x_y-1.roi:Mar19bS2C1R1_LHl_200x_y-1,0,0.00000000,0.00000000,0,0,0,40.00000000,340.00000000,40.00000000,340.00000000,0,40,340,1,1,1.12837917,1.12837917,0,0.00000000,0.00000000,0,0,NaN,NaN,0,0,40.00000000,340.00000000,0.00000000,0,0.00000000,0.00000000,NaN,0,255
10,Mar19bS2C1R1_LHl_200x_y-1.roi:Mar19bS2C1R1_LHl_200x_y-1,0,0.00000000,0.00000000,0,0,0,327.50000000,37.50000000,327.50000000,37.50000000,0,328,38,1,1,1.12837917,1.12837917,0,0.00000000,0.00000000,0,0,NaN,NaN,0,0,327.50000000,37.50000000,0.00000000,0,0.00000000,0.00000000,NaN,0,255
11,Mar19bS2C1R1_LHl_200x_y-1.roi:Mar19bS2C1R1_LHl_200x_y-1,0,0.00000000,0.00000000,0,0,0,839.50000000,172.83332825,839.50000000,172.83332825,0,840,173,1,1,1.12837917,1.12837917,0,0.00000000,0.00000000,0,0,NaN,NaN,0,0,839.50000000,172.83332825,0.00000000,0,0.00000000,0.00000000,NaN,0,255
12,Mar19bS2C1R1_LHl_200x_y-1.roi:Mar19bS2C1R1_LHl_200x_y-1,0,0.00000000,0.00000000,0,0,0,833.16668701,475.16665649,833.16668701,475.16665649,0,833,475,1,1,1.12837917,1.12837917,0,0.00000000,0.00000000,0,0,NaN,NaN,0,0,833.16668701,475.16665649,0.00000000,0,0.00000000,0.00000000,NaN,0,255
13,Mar19bS2C1R1_LHl_200x_y-1.roi:Mar19bS2C1R1_LHl_200x_y-1,0,0.00000000,0.00000000,0,0,0,1489.50000000,373.50000000,1489.50000000,373.50000000,0,1490,374,1,1,1.12837917,1.12837917,0,0.00000000,0.00000000,0,0,NaN,NaN,0,0,1489.50000000,373.50000000,0.00000000,0,0.00000000,0.00000000,NaN,0,255
